report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=187396,2025-01-31 20:20:00,Nokomis,FL,USA,Circle,Multiple objects around Venus over an hour long period,02/01/2025,True,
https://nuforc.org/sighting/?id=187379,2025-01-31 17:50:00,Nacogdoches,TX,USA,Cylinder,"Cylinder object was traveling above tree line, seemed to be drifting and tumbling but in a straight line.",01/31/2025,True,Balloon
https://nuforc.org/sighting/?id=187391,2025-01-31 15:51:00,San Diego,CA,USA,Cigar,A white pillar / Cigar shaped object moving in the sky at a steady pace in a floating motion,02/01/2025,True,Balloon?
https://nuforc.org/sighting/?id=187378,2025-01-31 09:40:00,,CA,USA,Cigar,Enormous cigar-shaped object hovering over Palos Verdes.,01/31/2025,True,Blimp
https://nuforc.org/sighting/?id=187407,2025-01-31 08:31:00,Taylor Mill,KY,USA,Changing,"noticed a strange black, silent craft",02/02/2025,True,
https://nuforc.org/sighting/?id=187362,2025-01-31 02:15:00,Maumee,OH,USA,Disk,The craft had red lights dotted around the craft and a white strobe light underneath.,01/31/2025,True,
https://nuforc.org/sighting/?id=187368,2025-01-30 21:30:00,Guadalupe,Nuevo León,Mexico,Light,There was a large fixed light on the hill that changed shape to an elongated one and disappeared.,01/30/2025,True,
https://nuforc.org/sighting/?id=187374,2025-01-30 20:47:00,Nederland,TX,USA,Triangle,Saw a bright white light leaving home that was creating a halo and then another bright light appeared after a few minutes,01/30/2025,True,Drone?
https://nuforc.org/sighting/?id=187360,2025-01-30 20:32:00,Westminster,CO,USA,Orb,"The orb was spotted directly West of my location about 20-30 miles in the distance, where it was slowly moving North.",01/31/2025,True,Planet/Star?
https://nuforc.org/sighting/?id=187352,2025-01-30 20:10:00,Holyoke,MA,USA,Orb,Strange shape shifting orb that hovered and flew away,01/30/2025,False,
https://nuforc.org/sighting/?id=187359,2025-01-30 19:42:00,Duluth,MN,USA,Light,"Witnessed odd light near TV antenna, pursued, light evaded us until we stopped, then it turned back and came at us",01/31/2025,True,Planet/Star
https://nuforc.org/sighting/?id=187373,2025-01-30 19:10:00,Murrells Inlet,SC,USA,Other,Three different types UAP. I have more video. I have never reported before or ever seeing anything like this in all of my 60 years.,01/30/2025,True,Drone?
https://nuforc.org/sighting/?id=187375,2025-01-30 18:45:00,Paterson,NJ,USA,Changing,I saw the unknown craft pass over my house then I waited and grabbed my phone and it circled back over my house again so I recorded it.,01/30/2025,True,Aircraft
https://nuforc.org/sighting/?id=187346,2025-01-30 18:35:00,Smrjene,Ljubljana,Slovenia,Circle,Moving fast & not straight.,01/30/2025,True,Aircraft
https://nuforc.org/sighting/?id=187365,2025-01-30 18:25:00,Bydgoszcz,Kuyavian-Pomeranian Voivodeship,Poland,Orb,"At first I tough it was starlink satellite, but after one minute it slowed down and changed its course.",01/30/2025,False,
